id,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Настройки-Параметры товаров-Отображать в навигации
142,"Угол поворота по горизонтали, °",,,"Угол поворота по горизонтали, °",,,Не отображать в общем фильтре
143,"Max длина светодиодной ленты, м",,,"Max длина низковольтной линии (светодиодной ленты), м",,,
144,Тип светодиодов,,,Тип светодиодов,,Тип светодиода [tip_svetodioda],
145,Количество светодиодов,,,Кол-во LED на метр,,Количество светодиодов [NUMBER_OF_LEDS],
146,Размер светодиодов,,,,,Размер светодиода [razmer_svetodioda],
147,"Кол-во светодиодов, шт/м",,,,,"Кол-во светодиодов, шт/м [kol_vo_svetodiodov_shtm]",
148,Количество рядов,,,,,Количество рядов [kolichestvo_ryadov],
149,Кратность резки,,,"Кратность отреза, мм",,"Кратность резки, мм [kratnost_rezki]",
150,"Кратность резки, LED",,,,,"Кратность резки, LED [kratnost_rezki_led]",
151,Максимальная ширина ленты,,,,,Максимальная ширина ленты [maksimalnaya_shirina_lenty],
152,"Длина катушки, мм ",,,,,"Длина, мм [dlina_katushki]",
153,Тип дерева,,,,,Тип дерева [tip_dereva],Не отображать в общем фильтре
